15.05.2021 00:27:23.139 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Double
15.05.2021 00:27:23.139 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Double
15.05.2021 00:27:23.139 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Double
15.05.2021 00:27:23.139 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Double
15.05.2021 00:27:23.140 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Double
15.05.2021 00:27:23.140 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Integer
15.05.2021 00:27:23.140 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Integer
15.05.2021 00:27:23.140 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Integer
15.05.2021 00:27:23.140 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Integer
15.05.2021 00:27:23.141 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: LinkedHashMap
15.05.2021 00:27:23.142 [JavaFX Application Thread] DEBUG  c.view.Controller - Is this Instance of Integer :true
15.05.2021 00:44:26.577 [JavaFX Application Thread] DEBUG  c.view.Controller - int400
15.05.2021 00:44:26.594 [JavaFX Application Thread] DEBUG  c.view.Controller - int600
15.05.2021 00:44:26.594 [JavaFX Application Thread] DEBUG  c.view.Controller - int9
15.05.2021 00:44:26.594 [JavaFX Application Thread] DEBUG  c.view.Controller - int11
15.05.2021 00:44:26.595 [JavaFX Application Thread] DEBUG  c.view.Controller - int-15
15.05.2021 00:44:26.595 [JavaFX Application Thread] DEBUG  c.view.Controller - int30
15.05.2021 00:44:26.595 [JavaFX Application Thread] DEBUG  c.view.Controller - int15
15.05.2021 00:44:26.596 [JavaFX Application Thread] DEBUG  c.view.Controller - int25
15.05.2021 00:44:26.596 [JavaFX Application Thread] DEBUG  c.view.Controller - int20
15.05.2021 00:44:26.596 [JavaFX Application Thread] DEBUG  c.view.Controller - int35
15.05.2021 00:44:26.597 [JavaFX Application Thread] DEBUG  c.view.Controller - int40
15.05.2021 00:44:26.597 [JavaFX Application Thread] DEBUG  c.view.Controller - int55
15.05.2021 00:44:26.597 [JavaFX Application Thread] DEBUG  c.view.Controller - int15
15.05.2021 00:44:26.598 [JavaFX Application Thread] DEBUG  c.view.Controller - int35
15.05.2021 00:44:26.598 [JavaFX Application Thread] DEBUG  c.view.Controller - int35
15.05.2021 00:44:26.599 [JavaFX Application Thread] DEBUG  c.view.Controller - int50
15.05.2021 00:44:26.599 [JavaFX Application Thread] DEBUG  c.view.Controller - int2350
15.05.2021 00:44:26.599 [JavaFX Application Thread] DEBUG  c.view.Controller - int2450
15.05.2021 00:44:26.600 [JavaFX Application Thread] DEBUG  c.view.Controller - int2250
15.05.2021 00:44:26.600 [JavaFX Application Thread] DEBUG  c.view.Controller - int2330
15.05.2021 00:44:26.600 [JavaFX Application Thread] DEBUG  c.view.Controller - int2130
15.05.2021 00:44:26.601 [JavaFX Application Thread] DEBUG  c.view.Controller - int2250
15.05.2021 00:44:26.601 [JavaFX Application Thread] DEBUG  c.view.Controller - int2215
15.05.2021 00:44:26.601 [JavaFX Application Thread] DEBUG  c.view.Controller - int2400
15.05.2021 00:44:26.602 [JavaFX Application Thread] DEBUG  c.view.Controller - int50
15.05.2021 00:44:26.602 [JavaFX Application Thread] DEBUG  c.view.Controller - int100
15.05.2021 00:44:26.603 [JavaFX Application Thread] DEBUG  c.view.Controller - int100
15.05.2021 00:44:26.603 [JavaFX Application Thread] DEBUG  c.view.Controller - int500
15.05.2021 00:44:26.603 [JavaFX Application Thread] DEBUG  c.view.Controller - int10
15.05.2021 00:44:26.603 [JavaFX Application Thread] DEBUG  c.view.Controller - int300
15.05.2021 00:44:26.604 [JavaFX Application Thread] DEBUG  c.view.Controller - int1
15.05.2021 00:44:26.604 [JavaFX Application Thread] DEBUG  c.view.Controller - int10
15.05.2021 00:44:26.604 [JavaFX Application Thread] DEBUG  c.view.Controller - int20
15.05.2021 00:44:26.604 [JavaFX Application Thread] DEBUG  c.view.Controller - int400
15.05.2021 00:44:26.605 [JavaFX Application Thread] DEBUG  c.view.Controller - int0
15.05.2021 00:44:26.605 [JavaFX Application Thread] DEBUG  c.view.Controller - int480
15.05.2021 00:44:26.605 [JavaFX Application Thread] DEBUG  c.view.Controller - int0
15.05.2021 00:44:26.606 [JavaFX Application Thread] DEBUG  c.view.Controller - int60
15.05.2021 00:44:26.606 [JavaFX Application Thread] DEBUG  c.view.Controller - instance of Number?
15.05.2021 00:46:17.399 [JavaFX Application Thread] DEBUG  c.view.Controller - true
15.05.2021 00:49:51.226 [JavaFX Application Thread] DEBUG  c.view.Controller - Value Logger[configure_ups.controller.Controller] Class Logger
15.05.2021 00:49:51.228 [JavaFX Application Thread] DEBUG  c.view.Controller - Value false Class Boolean
15.05.2021 00:49:51.229 [JavaFX Application Thread] DEBUG  c.view.Controller - Value TextField[id=mVAtZeroDeg, styleClass=text-input text-field] Class TextField
15.05.2021 00:49:51.229 [JavaFX Application Thread] DEBUG  c.view.Controller - Value TextField[id=changingMVPerOneDeg, styleClass=text-input text-field] Class TextField
15.05.2021 00:49:51.229 [JavaFX Application Thread] DEBUG  c.view.Controller - Value TextField[id=minTempFloat, styleClass=text-input text-field] Class TextField
15.05.2021 00:49:51.230 [JavaFX Application Thread] DEBUG  c.view.Controller - Value TextField[id=tempFirstMidPointFloat, styleClass=text-input text-field] Class TextField
15.05.2021 00:49:51.230 [JavaFX Application Thread] DEBUG  c.view.Controller - Value TextField[id=tempSecondMidPointFloat, styleClass=text-input text-field] Class TextField
15.05.2021 00:49:51.230 [JavaFX Application Thread] DEBUG  c.view.Controller - Value TextField[id=maxTempFloat, styleClass=text-input text-field] Class TextField
15.05.2021 00:49:51.230 [JavaFX Application Thread] DEBUG  c.view.Controller - Value TextField[id=minTempBoost, styleClass=text-input text-field] Class TextField
15.05.2021 00:49:51.230 [JavaFX Application Thread] DEBUG  c.view.Controller - Value TextField[id=maxTempBoost, styleClass=text-input text-field] Class TextField
15.05.2021 00:49:51.230 [JavaFX Application Thread] DEBUG  c.view.Controller - Value TextField[id=outputMaximum, styleClass=text-input text-field] Class TextField
15.05.2021 00:49:51.230 [JavaFX Application Thread] DEBUG  c.view.Controller - Value TextField[id=outputMiddle, styleClass=text-input text-field] Class TextField
15.05.2021 00:49:51.231 [JavaFX Application Thread] DEBUG  c.view.Controller - Value TextField[id=outputFloatMinimum, styleClass=text-input text-field] Class TextField
15.05.2021 00:49:51.231 [JavaFX Application Thread] DEBUG  c.view.Controller - Value TextField[id=outputBoostMinimum, styleClass=text-input text-field] Class TextField
15.05.2021 00:49:51.231 [JavaFX Application Thread] DEBUG  c.view.Controller - Value TextField[id=coefficientOfCalibration, styleClass=text-input text-field] Class TextField
15.05.2021 00:49:51.231 [JavaFX Application Thread] DEBUG  c.view.Controller - Value TextField[id=maxVoltShunt, styleClass=text-input text-field] Class TextField
15.05.2021 00:49:51.231 [JavaFX Application Thread] DEBUG  c.view.Controller - Value TextField[id=maxCurrentShunt, styleClass=text-input text-field] Class TextField
15.05.2021 00:49:51.231 [JavaFX Application Thread] DEBUG  c.view.Controller - Value TextField[id=capacitanceOfBattery, styleClass=text-input text-field] Class TextField
15.05.2021 00:49:51.231 [JavaFX Application Thread] DEBUG  c.view.Controller - Value TextField[id=numberBattery, styleClass=text-input text-field] Class TextField
15.05.2021 00:49:51.231 [JavaFX Application Thread] DEBUG  c.view.Controller - Value TextField[id=coeffAnalogueAmplifier, styleClass=text-input text-field] Class TextField
15.05.2021 00:49:51.232 [JavaFX Application Thread] DEBUG  c.view.Controller - Value TextField[id=chargingCurrent, styleClass=text-input text-field] Class TextField
15.05.2021 00:49:51.232 [JavaFX Application Thread] DEBUG  c.view.Controller - Value TextField[id=maxChargCurrent, styleClass=text-input text-field] Class TextField
15.05.2021 00:49:51.232 [JavaFX Application Thread] DEBUG  c.view.Controller - Value TextField[id=upThresholdCurrent, styleClass=text-input text-field] Class TextField
15.05.2021 00:49:51.232 [JavaFX Application Thread] DEBUG  c.view.Controller - Value TextField[id=thresholdForBoost, styleClass=text-input text-field] Class TextField
15.05.2021 00:49:51.232 [JavaFX Application Thread] DEBUG  c.view.Controller - Value TextField[id=thresholdBoostEnding, styleClass=text-input text-field] Class TextField
15.05.2021 00:49:51.232 [JavaFX Application Thread] DEBUG  c.view.Controller - Value TextField[id=timeInBoost, styleClass=text-input text-field] Class TextField
15.05.2021 00:49:51.232 [JavaFX Application Thread] DEBUG  c.view.Controller - Value TextField[id=delayBoost, styleClass=text-input text-field] Class TextField
15.05.2021 00:49:51.232 [JavaFX Application Thread] DEBUG  c.view.Controller - Value Button[id=showGraph, styleClass=button]'Показать график' Class Button
15.05.2021 00:49:51.233 [JavaFX Application Thread] DEBUG  c.view.Controller - Value Button[id=previousField, styleClass=button]'Вернуть первоначальные значения' Class Button
15.05.2021 00:49:51.233 [JavaFX Application Thread] DEBUG  c.view.Controller - Value Button[id=clear, styleClass=button]'Очистить' Class Button
15.05.2021 00:49:51.233 [JavaFX Application Thread] DEBUG  c.view.Controller - Value Button[id=write, styleClass=button]'Записать' Class Button
15.05.2021 00:49:51.234 [JavaFX Application Thread] DEBUG  c.view.Controller - Value 400 Class Integer
15.05.2021 00:49:51.234 [JavaFX Application Thread] DEBUG  c.view.Controller - Value 600 Class Integer
15.05.2021 00:49:51.234 [JavaFX Application Thread] DEBUG  c.view.Controller - Value 9 Class Integer
15.05.2021 00:49:51.235 [JavaFX Application Thread] DEBUG  c.view.Controller - Value 11 Class Integer
15.05.2021 00:49:51.235 [JavaFX Application Thread] DEBUG  c.view.Controller - Value -15 Class Integer
15.05.2021 00:49:51.235 [JavaFX Application Thread] DEBUG  c.view.Controller - Value 30 Class Integer
15.05.2021 00:49:51.235 [JavaFX Application Thread] DEBUG  c.view.Controller - Value 15 Class Integer
15.05.2021 00:49:51.235 [JavaFX Application Thread] DEBUG  c.view.Controller - Value 25 Class Integer
15.05.2021 00:49:51.235 [JavaFX Application Thread] DEBUG  c.view.Controller - Value 20 Class Integer
15.05.2021 00:49:51.236 [JavaFX Application Thread] DEBUG  c.view.Controller - Value 35 Class Integer
15.05.2021 00:49:51.236 [JavaFX Application Thread] DEBUG  c.view.Controller - Value 40 Class Integer
15.05.2021 00:49:51.236 [JavaFX Application Thread] DEBUG  c.view.Controller - Value 55 Class Integer
15.05.2021 00:49:51.236 [JavaFX Application Thread] DEBUG  c.view.Controller - Value 15 Class Integer
15.05.2021 00:49:51.236 [JavaFX Application Thread] DEBUG  c.view.Controller - Value 35 Class Integer
15.05.2021 00:49:51.236 [JavaFX Application Thread] DEBUG  c.view.Controller - Value 35 Class Integer
15.05.2021 00:49:51.236 [JavaFX Application Thread] DEBUG  c.view.Controller - Value 50 Class Integer
15.05.2021 00:49:51.236 [JavaFX Application Thread] DEBUG  c.view.Controller - Value 2350 Class Integer
15.05.2021 00:49:51.237 [JavaFX Application Thread] DEBUG  c.view.Controller - Value 2450 Class Integer
15.05.2021 00:49:51.237 [JavaFX Application Thread] DEBUG  c.view.Controller - Value 2250 Class Integer
15.05.2021 00:49:51.237 [JavaFX Application Thread] DEBUG  c.view.Controller - Value 2330 Class Integer
15.05.2021 00:49:51.237 [JavaFX Application Thread] DEBUG  c.view.Controller - Value 2130 Class Integer
15.05.2021 00:49:51.238 [JavaFX Application Thread] DEBUG  c.view.Controller - Value 2250 Class Integer
15.05.2021 00:49:51.238 [JavaFX Application Thread] DEBUG  c.view.Controller - Value 2215 Class Integer
15.05.2021 00:49:51.238 [JavaFX Application Thread] DEBUG  c.view.Controller - Value 2400 Class Integer
15.05.2021 00:49:51.239 [JavaFX Application Thread] DEBUG  c.view.Controller - Value 1.0 Class Double
15.05.2021 00:51:08.908 [JavaFX Application Thread] DEBUG  c.view.Controller - Value Logger[configure_ups.controller.Controller] Class Logger
15.05.2021 00:51:08.909 [JavaFX Application Thread] DEBUG  c.view.Controller - Value false Class Boolean
15.05.2021 00:51:08.910 [JavaFX Application Thread] DEBUG  c.view.Controller - Value TextField[id=mVAtZeroDeg, styleClass=text-input text-field] Class TextField
15.05.2021 00:51:08.910 [JavaFX Application Thread] DEBUG  c.view.Controller - Value TextField[id=changingMVPerOneDeg, styleClass=text-input text-field] Class TextField
15.05.2021 00:51:08.910 [JavaFX Application Thread] DEBUG  c.view.Controller - Value TextField[id=minTempFloat, styleClass=text-input text-field] Class TextField
15.05.2021 00:51:08.910 [JavaFX Application Thread] DEBUG  c.view.Controller - Value TextField[id=tempFirstMidPointFloat, styleClass=text-input text-field] Class TextField
